Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
SVM,Without pumin1_4u,0.03364421348872819,0.02828499135364203,0.016143781105408806,0.05056151783785764,0.07836847060330857,0.016545648857294037,0.05402589633525116,0.03244218801569604,0.17422032798623452,0.05534421688191534,0.11707845336642478,0.10437899169830248,
LogisticRegression,Without pumin5_8u,0.03141141383265036,0.04475180518852272,0.015844794604805153,0.14345200508025818,0.1445740673959301,0.008551809300624217,0.063649961405952,0.07662590318951534,0.12604280255339007,0.08561155627766492,0.1269111610384486,0.1118807433295576,
RandomForest,Without pumin5_8u,[0.01481513 0.01481513],[0.01401179 0.01401179],[0.06180488 0.06180488],[0.0239911 0.0239911],[0.04023575 0.04023575],[0.01385466 0.01385466],[0.02343646 0.02343646],[0.00354275 0.00354275],[0.07231157 0.07231157],[0.03549596 0.03549596],[0.05698096 0.05698096],[0.05626106 0.05626106],
GradientBoosting,Without pumin5_8u,0.1595529707774345,0.21259063982518903,0.5812376960543986,0.2836283672357717,0.5346942950363027,0.17736499465301403,0.24247559844266822,0.04396608564034256,1.173975805441294,0.4069903381106523,0.5179965571045729,0.8668226485029595,
SVM,Without pumin5_8u,0.0420344970558479,0.03423706588107336,0.014633621116025026,0.06733586064862737,0.08172594905362233,0.021600961300101484,0.06968128942951021,0.03713782571610021,0.15790691185271738,0.060926939504548784,0.11001412976339411,0.10229595278443256,
LogisticRegression,Without pumin1_4d,0.0388116789317451,0.03242166124369692,0.015093405782626385,0.17677301559195147,0.15095236560649558,0.01611427077743256,0.07116087339511883,0.07491607057260889,0.13038210588093416,0.09589271608158703,0.026789609227494737,0.15652941932715586,
RandomForest,Without pumin1_4d,[0.01489934 0.01489934],[0.01843086 0.01843086],[0.0592212 0.0592212],[0.02776002 0.02776002],[0.04763994 0.04763994],[0.0174177 0.0174177],[0.02180873 0.02180873],[0.00347106 0.00347106],[0.07406188 0.07406188],[0.03508859 0.03508859],[0.01614317 0.01614317],[0.05794686 0.05794686],
GradientBoosting,Without pumin1_4d,0.14910287149956444,0.1891644333407605,0.4962747909560343,0.40276018436360095,0.5597485811533941,0.22643044653599462,0.22190260570760417,0.045791497946052376,1.3284394058053786,0.440923856091605,0.19567078432316767,0.9327324442660044,
SVM,Without pumin1_4d,0.049247565343698556,0.030845989576637162,0.013034707213059122,0.07319352219895055,0.10786373712999857,0.022619661488102717,0.0638112284595281,0.03898285611603457,0.1582144867769704,0.07964862812408435,0.06361683035957606,0.14198674902963096,
LogisticRegression,Without pumin5_8d,0.03004769698610659,0.029128065553790595,0.01601453413304341,0.13511707945612822,0.15755992332690294,0.007385608629169822,0.06720080317615361,0.062320694256333665,0.12068142786033961,0.08511005947362756,0.0466244366936312,0.1704810167665626,
RandomForest,Without pumin5_8d,[0.01408585 0.01408585],[0.01642994 0.01642994],[0.05496464 0.05496464],[0.02926426 0.02926426],[0.04321526 0.04321526],[0.01447143 0.01447143],[0.02153042 0.02153042],[0.00399234 0.00399234],[0.07110184 0.07110184],[0.0335263 0.0335263],[0.02051052 0.02051052],[0.07389243 0.07389243],
GradientBoosting,Without pumin5_8d,0.18116816026553292,0.1732333668590301,0.5317208981794727,0.2826520806577234,0.5617242089482032,0.14680222394624687,0.21528777932461085,0.01833133686598589,1.075118982836385,0.41486839241695916,0.27743958453855644,0.7498770579117056,
SVM,Without pumin5_8d,0.04316886156600416,0.05260688533727744,0.013028254195103737,0.07074594022211139,0.09276079203616919,0.02179534567230753,0.0663603229989998,0.035035742082666035,0.14282677809247488,0.06101845009019611,0.08055520696440434,0.14724372523525703,
