E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-13.01,5.66301e-6,1.16582e-4,-25.45,7,-1.65,-11.23,7.43,4,-12.92,0.08704024,0.1500094,0.1822725,0.1063536,0.12
-19.18,1.92527e-7,0.0207698,-30.56,7,-4.17,-16.35,2.28,4,-10.330000000000002,0.8818158,0.1416693,0.03770274,0.04171228,0
-19.34,2.22361e-4,1.56974e-5,-30.8,11,-4.27,-11.59,2.25,4,-8.739999999999998,0.1333563,0.08262297,0.08164688,0.1054729,0
-18.53,0.040294,2.99403e-5,-26.55,10,-7.67,-9.33,3.45,4,-9.36,0.8705114,0.8147224,0.4030667,0.226047,0
-23.61,9.91905e-4,2.61348e-5,-33.89,11,-6.51,-7.45,3.78,4,-6.940000000000001,0.5168287,0.549484,0.1264387,0.08751889,0.12
-18.98,5.11284e-4,5.80849e-5,-29.18,11,-4.44,-7.05,4.47,4,-6.259999999999998,0.4754387,0.3808743,0.1838244,0.1888617,0.13
-15.19,0.00115581,4.24117e-4,-23.74,8,-5.8,-9.41,3.03,4,-7.58,0.3810902,0.4486465,0.900407,0.2452362,0.09
-16.87,1.97424e-4,2.57007e-7,-30.82,2,-1.36,0,999999,0,-12.829999999999998,0.08926049,0.06036132,0.1818966,0.2715113,0.07
-13.3,4.61726e-4,9.91905e-4,-21.89,8,-2.98,-8.39,3.9,4,-4.98,0.9081996,0.1951595,0.08675931,0.07184832,0
-19.17,1.94098e-4,3.28774e-6,-31.63,9,-5.8,-14.71,7.43,4,-7.09,0.1328447,0.1626664,0.1011556,0.1554544,0.01
-21.84,2.77396e-6,4.57876e-5,-35.25,11,-7.49,-7.91,3.98,4,-6.420000000000002,0.1575803,0.07286097,0.1118646,0.1061854,0.02
-13.53,0.0259041,0.00354769,-19,3,-5.38,-9.39,2.98,4,-6.799999999999999,0.572681,0.185709,0.4789175,0.2968931,0.03
-12.41,3.12434e-6,4.38994e-8,-29.84,5,-3.74,-9.47,9.97,4,-8.760000000000002,0.8242507,0.652186,0.1618892,0.06203817,0.01
-16.24,5.47244e-4,0.00392848,-23.92,11,-5.13,-10.19,2.44,4,-5.740000000000002,0.8171435,0.02876991,0.1667936,0.1141133,0.05
-15.61,0.00136988,2.26227e-6,-27.14,8,-2.66,-3.21,6.15,2,-8.129999999999999,0.1628809,0.2870965,0.1169365,0.7799494,0.21
0,0,0,0,0,0,-10.25,16.48,4,-6.25,0.2661883,0.6173203,0.09258008,0.07573577,0.01
-13.75,3.17788e-6,6.16518e-6,-28.26,8,-3.05,-8.45,3.91,4,-11.8,0.05963935,0.09044848,0.01667758,0.5406808,0.02
-19.21,2.54864e-8,9.75193e-4,-33.58,10,-5.13,-10.99,2.58,4,-4.529999999999998,0.01316985,0.07256933,0.2817552,0.5464022,0.05
-13.63,2.96833e-4,2.70382e-5,-24.6,10,-3.59,-6.61,4.91,2,-7.139999999999999,0.3982298,0.1772155,0.1659279,0.3480878,0
-17.53,0.00435013,7.49478e-5,-26.32,10,-4.97,-9.31,3.52,4,-9.959999999999997,0.2388474,0.4155183,0.3667343,0.1749488,0.05
-21.88,0.00348792,1.49209e-7,-34.46,10,-10.1,-13.06,8.99,4,-9.370000000000001,0.1939641,0.391156,0.3375461,0.1420147,0.02
