Model,Feature Set,Kernel,C,Gamma,Degree,Coef0,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=poly, C=1000, gamma=0.001, degree=2, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1000.0,0.001,2,0.1,0.780952380952381,0.07737179432986631,0.7722727272727272,0.09377747531274798,0.8290909090909091,0.07051170701696476,0.7947282347282346,0.0602926579939878
"SVM (kernel=sigmoid, C=10, gamma=0.01, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,10.0,0.01,3,0.1,0.7714285714285715,0.0819269073051679,0.7577272727272728,0.09398874558967503,0.8290909090909091,0.07051170701696476,0.7878018278018277,0.06543548363577024
"SVM (kernel=poly, C=1000, gamma=0.01, degree=4, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1000.0,0.01,4,0.1,0.7428571428571429,0.07126966450997983,0.6861452273216979,0.059495948771009714,0.9272727272727274,0.06803013430498074,0.7861904761904762,0.04715007159804406
"SVM (kernel=poly, C=0.1, gamma=0.1, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,0.1,4,1.0,0.7428571428571429,0.07126966450997983,0.6861452273216979,0.059495948771009714,0.9272727272727274,0.06803013430498074,0.7861904761904762,0.04715007159804406
"SVM (kernel=rbf, C=1, gamma=0.01, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,1.0,0.01,3,0.0,0.7714285714285715,0.0819269073051679,0.7578282828282827,0.09156051677340554,0.830909090909091,0.10564246579151963,0.785983645983646,0.07240444880338205
"SVM (kernel=poly, C=1, gamma=auto, degree=2, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,auto,2,0.1,0.7428571428571428,0.05714285714285716,0.6832579185520362,0.050850516213453996,0.9254545454545454,0.06861077186950255,0.7844761904761904,0.04499191159356913
"SVM (kernel=poly, C=0.01, gamma=auto, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.01,auto,4,1.0,0.7238095238095238,0.06998542122237651,0.6553454715219421,0.07000785579847876,0.9818181818181818,0.036363636363636376,0.7835645937714902,0.049329069254039945
"SVM (kernel=poly, C=1, gamma=0.01, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,0.01,4,1.0,0.7714285714285715,0.0819269073051679,0.7678282828282829,0.0928803670064208,0.8109090909090909,0.09998346970812741,0.7823472823472823,0.07114160697810688
"SVM (kernel=poly, C=100, gamma=0.001, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.001,5,1.0,0.7714285714285715,0.07619047619047618,0.7606060606060605,0.08626522835713012,0.8090909090909092,0.08795190270871144,0.7811188811188812,0.07260075062386553
"SVM (kernel=rbf, C=1, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,1.0,scale,3,0.0,0.7619047619047619,0.09523809523809523,0.7551515151515152,0.10919860004417173,0.8109090909090909,0.05818181818181817,0.7781152181152182,0.07462472050940394
"SVM (kernel=poly, C=10, gamma=0.001, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,0.001,5,1.0,0.7619047619047619,0.09035079029052513,0.7522727272727273,0.09635934810355531,0.8109090909090909,0.09998346970812741,0.7756806156806155,0.07960445832888781
